source	target	weight
MAP2K2	MAP3K2	0.5
MAP2K1	HCK	0.5
MAP2K2	HCK	0.5
MAP2K1	CAMK2G	0.5
MAP2K2	CAMK2G	0.5
CDK2	BCR	0.5
MAP3K2	BCR	0.5
HCK	BCR	0.5
CAMK2G	BCR	0.5
CDK2	LYN	0.5
MAP3K2	LYN	0.5
HCK	LYN	0.5
CAMK2G	LYN	0.5
ABL2	YES1	0.5
LCK	YES1	0.5
ABL2	FYN	0.5
LCK	FYN	0.5
YES1	EPHA2	0.5
FYN	EPHA2	0.5
EPHA2	FRK	0.5
EPHA2	MAPK11	0.5
EPHA2	DDR2	0.5
FGFR4	FGFR2	0.5
FGFR4	FGFR1	0.5
FGFR1	RET	0.5
RET	KDR	0.5
FLT4	PDGFRB	0.5
FLT1	PDGFRB	0.5
KDR	KIT	0.5
KIT	ABL1	0.5
CSF1R	DDR1	0.5
JAK3	JAK2	0.5
JAK3	JAK1	0.5
KDR	PDGFRA	0.444444444
RET	KIT	0.444444444
FLT4	KIT	0.444444444
FLT1	KIT	0.444444444
FLT3	KDR	0.428571429
SRC	ABL1	0.428571429
CHUK	IKBKB	0.4
TEK	FGFR2	0.4
FGFR3	FGFR2	0.4
TEK	FGFR1	0.4
FGFR3	FGFR1	0.4
FGFR1	FLT3	0.4
KDR	PDGFRB	0.4
FGFR1	RAF1	0.4
FGFR1	KDR	0.375
RET	PDGFRA	0.375
FLT4	PDGFRA	0.375
FLT1	PDGFRA	0.375
FLT3	KIT	0.375
BRD2	CHUK	0.333333333
MAPK3	MAPK1	0.333333333
MAPK3	AKT1	0.333333333
MAPK1	AKT1	0.333333333
AKT1	ABL2	0.333333333
ACVR1	PRKAA1	0.333333333
TNK2	PRKAA1	0.333333333
CDK15	PRKAA1	0.333333333
ACVR1B	PRKAA1	0.333333333
ACVRL1	PRKAA1	0.333333333
ADRBK1	PRKAA1	0.333333333
ADRBK2	PRKAA1	0.333333333
ARAF	PRKAA1	0.333333333
ALK	PRKAA1	0.333333333
AMHR2	PRKAA1	0.333333333
PRKAA1	PIM1	0.333333333
MAP2K1	BCR	0.333333333
MAP2K2	BCR	0.333333333
MAP2K1	LYN	0.333333333
MAP2K2	LYN	0.333333333
CDK2	SRC	0.333333333
MAP3K2	SRC	0.333333333
HCK	SRC	0.333333333
CAMK2G	SRC	0.333333333
ABL2	LCK	0.333333333
BCR	LCK	0.333333333
LYN	LCK	0.333333333
SRC	YES1	0.333333333
SRC	FYN	0.333333333
ABL2	EPHA2	0.333333333
LCK	EPHA2	0.333333333
FRK	TEK	0.333333333
MAPK11	TEK	0.333333333
DDR2	TEK	0.333333333
TEK	PTK6	0.333333333
BCR	FGFR4	0.333333333
LYN	FGFR4	0.333333333
LCK	FGFR4	0.333333333
TEK	RET	0.333333333
FLT3	RET	0.333333333
FLT3	FLT4	0.333333333
FLT3	FLT1	0.333333333
RET	PDGFRB	0.333333333
FGFR1	KIT	0.333333333
RET	ABL1	0.333333333
PDGFRA	CSF1R	0.333333333
FRK	NTRK1	0.333333333
MAPK11	NTRK1	0.333333333
DDR2	NTRK1	0.333333333
RET	NTRK1	0.333333333
DDR1	NTRK1	0.333333333
NTRK1	NTRK2	0.333333333
FRK	RAF1	0.333333333
MAPK11	RAF1	0.333333333
DDR2	RAF1	0.333333333
RET	RAF1	0.333333333
FLT4	RAF1	0.333333333
FLT1	RAF1	0.333333333
LIMK1	RAF1	0.333333333
SIK1	RAF1	0.333333333
NEK11	RAF1	0.333333333
FGFR1	BRAF	0.333333333
FGFR3	ITK	0.333333333
PRKCD	PRKCA	0.333333333
PRKCA	PRKCB	0.333333333
NPR2	NPR1	0.333333333
PDGFRA	ABL1	0.3
FGFR2	RET	0.285714286
FGFR1	FLT4	0.285714286
FGFR1	FLT1	0.285714286
TEK	PDGFRA	0.285714286
FGFR3	PDGFRA	0.285714286
FLT3	PDGFRA	0.285714286
EPHA2	PDGFRB	0.285714286
ABL2	ABL1	0.285714286
BCR	ABL1	0.285714286
LYN	ABL1	0.285714286
LCK	ABL1	0.285714286
EPHA2	ABL1	0.285714286
PDGFRB	CSF1R	0.285714286
PDGFRA	NTRK1	0.285714286
RET	BRAF	0.285714286
FLT4	BRAF	0.285714286
FLT1	BRAF	0.285714286
PDGFRB	ABL1	0.272727273
ERBB2	EGFR	0.272727273
BRD2	IKBKB	0.25
AKT1	PRKAA1	0.25
ABL2	PRKAA1	0.25
ABL2	SRC	0.25
MAP2K1	SRC	0.25
MAP2K2	SRC	0.25
SRC	EPHA2	0.25
BCR	TEK	0.25
LYN	TEK	0.25
LCK	TEK	0.25
EPHA2	TEK	0.25
BCR	FGFR3	0.25
LYN	FGFR3	0.25
LCK	FGFR3	0.25
SRC	FGFR4	0.25
TEK	FGFR4	0.25
FRK	FGFR2	0.25
MAPK11	FGFR2	0.25
DDR2	FGFR2	0.25
FRK	FGFR1	0.25
MAPK11	FGFR1	0.25
DDR2	FGFR1	0.25
BCR	FLT3	0.25
LYN	FLT3	0.25
LCK	FLT3	0.25
FGFR4	FLT3	0.25
TEK	KDR	0.25
FGFR3	KDR	0.25
RET	FLT4	0.25
RET	FLT1	0.25
FGFR2	PDGFRA	0.25
FGFR1	PDGFRA	0.25
FLT3	PDGFRB	0.25
LCK	KIT	0.25
EPHA2	KIT	0.25
TEK	ABL1	0.25
FLT3	CSF1R	0.25
KIT	CSF1R	0.25
EPHA2	NTRK1	0.25
PDGFRB	NTRK1	0.25
ABL1	NTRK1	0.25
CSF1R	NTRK1	0.25
EPHA2	RAF1	0.25
KDR	RAF1	0.25
PDGFRB	RAF1	0.25
FRK	BRAF	0.25
MAPK11	BRAF	0.25
DDR2	BRAF	0.25
LIMK1	BRAF	0.25
SIK1	BRAF	0.25
NEK11	BRAF	0.25
FGFR2	KDR	0.222222222
FGFR1	PDGFRB	0.222222222
SRC	KIT	0.222222222
TEK	KIT	0.222222222
FGFR3	KIT	0.222222222
FGFR2	ABL1	0.222222222
FGFR1	ABL1	0.222222222
KIT	NTRK1	0.222222222
KIT	RAF1	0.222222222
KDR	BRAF	0.222222222
PDGFRB	BRAF	0.222222222
IKBKB	MAPK3	0.2
IKBKB	MAPK1	0.2
IKBKB	AKT1	0.2
SRC	TEK	0.2
SRC	FGFR3	0.2
TEK	FGFR3	0.2
BCR	FGFR2	0.2
LYN	FGFR2	0.2
LCK	FGFR2	0.2
EPHA2	FGFR2	0.2
BCR	FGFR1	0.2
LYN	FGFR1	0.2
LCK	FGFR1	0.2
EPHA2	FGFR1	0.2
SRC	FLT3	0.2
TEK	FLT3	0.2
FGFR3	FLT3	0.2
MET	RET	0.2
FRK	RET	0.2
MAPK11	RET	0.2
DDR2	RET	0.2
FRK	FLT4	0.2
MAPK11	FLT4	0.2
DDR2	FLT4	0.2
FRK	FLT1	0.2
MAPK11	FLT1	0.2
DDR2	FLT1	0.2
FGFR2	KIT	0.2
RET	DDR1	0.2
TEK	NTRK1	0.2
TEK	RAF1	0.2
FLT3	RAF1	0.2
NTRK1	RAF1	0.2
EPHA2	BRAF	0.2
KIT	BRAF	0.2
FLT4	ITK	0.2
FLT1	ITK	0.2
ERBB4	ERBB2	0.2
SRC	FGFR2	0.166666667
SRC	FGFR1	0.166666667
FGFR2	FLT3	0.166666667
BCR	RET	0.166666667
LYN	RET	0.166666667
LCK	RET	0.166666667
EPHA2	RET	0.166666667
FGFR4	RET	0.166666667
EPHA2	FLT4	0.166666667
EPHA2	FLT1	0.166666667
FRK	PDGFRA	0.166666667
MAPK11	PDGFRA	0.166666667
DDR2	PDGFRA	0.166666667
KDR	ABL1	0.166666667
RET	CSF1R	0.166666667
FLT4	CSF1R	0.166666667
FLT1	CSF1R	0.166666667
PDGFRA	DDR1	0.166666667
FGFR2	NTRK1	0.166666667
FGFR1	NTRK1	0.166666667
FGFR2	RAF1	0.166666667
TEK	BRAF	0.166666667
FLT3	BRAF	0.166666667
NTRK1	BRAF	0.166666667
PDGFRA	ITK	0.166666667
SRC	RET	0.142857143
FGFR3	RET	0.142857143
MET	KDR	0.142857143
FRK	KDR	0.142857143
MAPK11	KDR	0.142857143
DDR2	KDR	0.142857143
TEK	FLT4	0.142857143
FGFR3	FLT4	0.142857143
TEK	FLT1	0.142857143
FGFR3	FLT1	0.142857143
BCR	PDGFRA	0.142857143
LYN	PDGFRA	0.142857143
LCK	PDGFRA	0.142857143
EPHA2	PDGFRA	0.142857143
FGFR4	PDGFRA	0.142857143
YES1	PDGFRB	0.142857143
FYN	PDGFRB	0.142857143
FRK	PDGFRB	0.142857143
MAPK11	PDGFRB	0.142857143
DDR2	PDGFRB	0.142857143
ACVR1	ABL1	0.142857143
TNK2	ABL1	0.142857143
CDK15	ABL1	0.142857143
ACVR1B	ABL1	0.142857143
ACVRL1	ABL1	0.142857143
ADRBK1	ABL1	0.142857143
ADRBK2	ABL1	0.142857143
ARAF	ABL1	0.142857143
ALK	ABL1	0.142857143
AMHR2	ABL1	0.142857143
CDK2	ABL1	0.142857143
MAP3K2	ABL1	0.142857143
HCK	ABL1	0.142857143
CAMK2G	ABL1	0.142857143
YES1	ABL1	0.142857143
FYN	ABL1	0.142857143
FRK	ABL1	0.142857143
MAPK11	ABL1	0.142857143
DDR2	ABL1	0.142857143
PDGFRB	DDR1	0.142857143
ABL1	DDR1	0.142857143
FLT4	NTRK1	0.142857143
FLT1	NTRK1	0.142857143
FGFR2	BRAF	0.142857143
KDR	ITK	0.142857143
PDGFRB	ITK	0.142857143
BCR	KDR	0.125
LYN	KDR	0.125
LCK	KDR	0.125
EPHA2	KDR	0.125
FGFR4	KDR	0.125
FGFR2	FLT4	0.125
FGFR2	FLT1	0.125
SRC	PDGFRA	0.125
ABL2	PDGFRB	0.125
LCK	PDGFRB	0.125
YES1	KIT	0.125
FYN	KIT	0.125
FRK	KIT	0.125
MAPK11	KIT	0.125
DDR2	KIT	0.125
AKT1	ABL1	0.125
MAP2K1	ABL1	0.125
MAP2K2	ABL1	0.125
FGFR4	ABL1	0.125
KDR	CSF1R	0.125
ABL1	CSF1R	0.125
KIT	DDR1	0.125
PDGFRA	RAF1	0.125
KIT	ITK	0.125
SRC	KDR	0.111111111
SRC	PDGFRB	0.111111111
TEK	PDGFRB	0.111111111
FGFR3	PDGFRB	0.111111111
ABL2	KIT	0.111111111
BCR	KIT	0.111111111
LYN	KIT	0.111111111
FGFR4	KIT	0.111111111
PRKAA1	ABL1	0.111111111
FGFR3	ABL1	0.111111111
FLT3	ABL1	0.111111111
KDR	NTRK1	0.111111111
ABL1	RAF1	0.111111111
PDGFRA	BRAF	0.111111111
PTK6	EGFR	0.111111111
ERBB4	EGFR	0.111111111
FGFR2	PDGFRB	0.1
ABL1	BRAF	0.1
FLT4	ABL1	0.090909091
FLT1	ABL1	0.090909091
TEK	EGFR	0.090909091
