source	target	weight
ACVR1	TNK2	1
ACVR1	CDK15	1
TNK2	CDK15	1
ACVR1	ACVR1B	1
TNK2	ACVR1B	1
CDK15	ACVR1B	1
ACVR1	ACVRL1	1
TNK2	ACVRL1	1
CDK15	ACVRL1	1
ACVR1B	ACVRL1	1
ACVR1	ADRBK1	1
TNK2	ADRBK1	1
CDK15	ADRBK1	1
ACVR1B	ADRBK1	1
ACVRL1	ADRBK1	1
ACVR1	ADRBK2	1
TNK2	ADRBK2	1
CDK15	ADRBK2	1
ACVR1B	ADRBK2	1
ACVRL1	ADRBK2	1
ADRBK1	ADRBK2	1
ACVR1	ARAF	1
TNK2	ARAF	1
CDK15	ARAF	1
ACVR1B	ARAF	1
ACVRL1	ARAF	1
ADRBK1	ARAF	1
ADRBK2	ARAF	1
ACVR1	ALK	1
TNK2	ALK	1
CDK15	ALK	1
ACVR1B	ALK	1
ACVRL1	ALK	1
ADRBK1	ALK	1
ADRBK2	ALK	1
ARAF	ALK	1
ACVR1	AMHR2	1
TNK2	AMHR2	1
CDK15	AMHR2	1
ACVR1B	AMHR2	1
ACVRL1	AMHR2	1
ADRBK1	AMHR2	1
ADRBK2	AMHR2	1
ARAF	AMHR2	1
ALK	AMHR2	1
MAP2K1	MAP2K2	1
CDK2	MAP3K2	1
CDK2	HCK	1
MAP3K2	HCK	1
CDK2	CAMK2G	1
MAP3K2	CAMK2G	1
HCK	CAMK2G	1
BCR	LYN	1
YES1	FYN	1
FRK	MAPK11	1
FRK	DDR2	1
MAPK11	DDR2	1
FLT4	FLT1	1
LIMK1	SIK1	1
LIMK1	NEK11	1
SIK1	NEK11	1
JAK2	JAK1	1
RAF1	BRAF	0.75
KDR	FLT4	0.714285714
KDR	FLT1	0.714285714
BCR	SRC	0.666666667
LYN	SRC	0.666666667
SRC	LCK	0.666666667
FGFR3	FGFR4	0.666666667
PDGFRB	KIT	0.666666667
PDGFRA	PDGFRB	0.625
FGFR2	FGFR1	0.6
INSR	IGF1R	0.555555556
PDGFRA	KIT	0.555555556
AKT1	ACVR1	0.5
AKT1	TNK2	0.5
AKT1	CDK15	0.5
AKT1	ACVR1B	0.5
AKT1	ACVRL1	0.5
AKT1	ADRBK1	0.5
AKT1	ADRBK2	0.5
AKT1	ARAF	0.5
AKT1	ALK	0.5
AKT1	AMHR2	0.5
ACVR1	ABL2	0.5
TNK2	ABL2	0.5
CDK15	ABL2	0.5
ACVR1B	ABL2	0.5
ACVRL1	ABL2	0.5
ADRBK1	ABL2	0.5
ADRBK2	ABL2	0.5
ARAF	ABL2	0.5
ALK	ABL2	0.5
AMHR2	ABL2	0.5
MAP2K1	CDK2	0.5
MAP2K2	CDK2	0.5
MAP2K1	MAP3K2	0.5
